District,State/UT,Population Age 15+ (%),Population Age 45+ (%),Women Overweight or Obese (%) [BMI>=25.0],Men Overweight or Obese (%) [BMI>=25.0],Women Underweight (%) [BMI<18.5],Men Underweight (%) [BMI<18.5],Women Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Men Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Women High Glucose [BG>140mg/dl OR medicated],Men High Glucose [BG>140mg/dl OR medicated],Women Substantially Increased Risk of Metabolic Complications (%) [waist>88cm],Men Substantially Increased Risk of Metabolic Complications (%) [waist>102cm],TB Prevalence (%),Population in Highest Wealth Quintile (%),Households with Health Insurance / Financing Scheme Coverage (%)
Tiruvannamalai ,Tamil Nadu,76.78,25.96,40.5,32.6,12.6,12.1,19.2,25.8,20.7,22.1,34.5,8,0.187,24.6,69.6
Viluppuram ,Tamil Nadu,76.59,25.43,40.5,32.6,12.6,12.1,19,26.1,20.7,22.1,34.5,8,0.187,24.6,77.6
Salem ,Tamil Nadu,77.72,26.76,40.5,32.6,12.6,12.1,26.6,34,20.7,22.1,34.5,8,0.187,24.6,67.5
Namakkal ,Tamil Nadu,77.96,27.13,40.5,32.6,12.6,12.1,25.6,31.5,20.7,22.1,34.5,8,0.187,24.6,68.8
Erode ,Tamil Nadu,78.18,27.34,40.5,32.6,12.6,12.1,29.5,36.1,20.7,22.1,34.5,8,0.187,24.6,77.7
The Nilgiris ,Tamil Nadu,80.08,30.34,40.5,32.6,12.6,12.1,34.2,32.9,20.7,22.1,34.5,8,0.187,24.6,74.5
Dindigul ,Tamil Nadu,77.67,26.96,40.5,32.6,12.6,12.1,25.7,34.2,20.7,22.1,34.5,8,0.187,24.6,71.9
Karur ,Tamil Nadu,77.9,27.11,40.5,32.6,12.6,12.1,24.1,29.1,20.7,22.1,34.5,8,0.187,24.6,74.6
Tiruchirappalli ,Tamil Nadu,78.36,27.46,40.5,32.6,12.6,12.1,21.4,28.9,20.7,22.1,34.5,8,0.187,24.6,67.8
Perambalur ,Tamil Nadu,75.42,24.48,40.5,32.6,12.6,12.1,19.8,26.1,20.7,22.1,34.5,8,0.187,24.6,75.5
Ariyalur ,Tamil Nadu,75.61,24.69,40.5,32.6,12.6,12.1,20.6,27.5,20.7,22.1,34.5,8,0.187,24.6,71.1
Cuddalore ,Tamil Nadu,76.99,26.02,40.5,32.6,12.6,12.1,20.1,27,20.7,22.1,34.5,8,0.187,24.6,64.4
Nagapattinam ,Tamil Nadu,77.3,26.47,40.5,32.6,12.6,12.1,24.5,32.1,20.7,22.1,34.5,8,0.187,24.6,70.9
Thiruvarur ,Tamil Nadu,77.1,26.35,40.5,32.6,12.6,12.1,23.8,31,20.7,22.1,34.5,8,0.187,24.6,75.2
Thanjavur ,Tamil Nadu,77.32,26.75,40.5,32.6,12.6,12.1,28.8,34.6,20.7,22.1,34.5,8,0.187,24.6,70.6
Pudukkottai ,Tamil Nadu,76.71,26.11,40.5,32.6,12.6,12.1,23,30.2,20.7,22.1,34.5,8,0.187,24.6,72.9
Sivaganga ,Tamil Nadu,77.17,26.69,40.5,32.6,12.6,12.1,22,26,20.7,22.1,34.5,8,0.187,24.6,67.7
Madurai ,Tamil Nadu,78.31,27.24,40.5,32.6,12.6,12.1,25.6,31.8,20.7,22.1,34.5,8,0.187,24.6,66.3
Theni ,Tamil Nadu,77.66,26.85,40.5,32.6,12.6,12.1,28.7,35.6,20.7,22.1,34.5,8,0.187,24.6,67.4
Virudhunagar ,Tamil Nadu,77.54,26.77,40.5,32.6,12.6,12.1,20.2,22.9,20.7,22.1,34.5,8,0.187,24.6,51.3
Ramanathapuram ,Tamil Nadu,77.61,26.75,40.5,32.6,12.6,12.1,23.3,28.2,20.7,22.1,34.5,8,0.187,24.6,69.7
Thoothukkudi ,Tamil Nadu,78.07,27.29,40.5,32.6,12.6,12.1,24.5,28.2,20.7,22.1,34.5,8,0.187,24.6,57.8
Tirunelveli ,Tamil Nadu,77.63,26.88,40.5,32.6,12.6,12.1,22.1,25.5,20.7,22.1,34.5,8,0.187,24.6,61.3
Kanniyakumari ,Tamil Nadu,79.08,29.13,40.5,32.6,12.6,12.1,24.4,30.2,20.7,22.1,34.5,8,0.187,24.6,64.1
Dharmapuri ,Tamil Nadu,75.64,24.23,40.5,32.6,12.6,12.1,25.8,30.8,20.7,22.1,34.5,8,0.187,24.6,75.5
Krishnagiri ,Tamil Nadu,76.77,24.81,40.5,32.6,12.6,12.1,23.5,25.3,20.7,22.1,34.5,8,0.187,24.6,73.6
Coimbatore ,Tamil Nadu,80.2,28.18,40.5,32.6,12.6,12.1,29.2,33.3,20.7,22.1,34.5,8,0.187,24.6,61
Tiruppur ,Tamil Nadu,80.12,28.15,40.5,32.6,12.6,12.1,26.8,28.9,20.7,22.1,34.5,8,0.187,24.6,59.9
Adilabad ,Telangana,74.77,22.75,30.1,32.4,12.6,12.1,23.1,26.4,20.7,22.1,34.5,8,0.187,24.6,63.6
Bhadradri Kothagudem ,Telangana,73.84,21.48,30.1,32.4,18.8,16.3,29.6,30.1,14.7,18.1,20.6,6.5,0.242,22.2,59.4
Hyderabad ,Telangana,81.42,26.47,30.1,32.4,18.8,16.3,30.2,41.7,14.7,18.1,20.6,6.5,0.242,22.2,48.9
Jagitial ,Telangana,75.46,24,30.1,32.4,18.8,16.3,25.5,31.3,14.7,18.1,20.6,6.5,0.242,22.2,59.2
Jangoan ,Telangana,74.31,22.25,30.1,32.4,18.8,16.3,26.1,29,14.7,18.1,20.6,6.5,0.242,22.2,71.7
Jayashankar Bhupalapally ,Telangana,72.93,20.47,30.1,32.4,18.8,16.3,28.4,31.5,14.7,18.1,20.6,6.5,0.242,22.2,71.5
Jogulamba Gadwal ,Telangana,74,22.01,30.1,32.4,18.8,16.3,21.5,29.7,14.7,18.1,20.6,6.5,0.242,22.2,61.8
Kamareddy ,Telangana,74.2,22.14,30.1,32.4,18.8,16.3,27.7,29.1,14.7,18.1,20.6,6.5,0.242,22.2,66.5
Karimnagar ,Telangana,75.76,24.18,30.1,32.4,18.8,16.3,25,34.7,14.7,18.1,20.6,6.5,0.242,22.2,58.6
Khammam ,Telangana,75.25,22.68,30.1,32.4,18.8,16.3,27.6,30.8,14.7,18.1,20.6,6.5,0.242,22.2,60.4
Komaram Bheem Asifabad ,Telangana,72.23,19.82,30.1,32.4,18.8,16.3,21.8,27.2,14.7,18.1,20.6,6.5,0.242,22.2,63.6
Mahabubabad ,Telangana,72.63,20.35,30.1,32.4,18.8,16.3,21.9,28.8,14.7,18.1,20.6,6.5,0.242,22.2,69.3
Mahabubnagar ,Telangana,74.77,22.84,30.1,32.4,18.8,16.3,24.2,26.5,14.7,18.1,20.6,6.5,0.242,22.2,70.3
Mancherial ,Telangana,75.43,23.36,30.1,32.4,18.8,16.3,27.9,32,14.7,18.1,20.6,6.5,0.242,22.2,64.4
Medak ,Telangana,75.12,22.95,30.1,32.4,18.8,16.3,26.7,28.9,14.7,18.1,20.6,6.5,0.242,22.2,61.2
Medchal-Malkajgiri ,Telangana,81.18,26.06,30.1,32.4,18.8,16.3,26.5,34.8,14.7,18.1,20.6,6.5,0.242,22.2,53.8
Nagarkurnool ,Telangana,74.24,22.18,30.1,32.4,18.8,16.3,24.6,27.3,14.7,18.1,20.6,6.5,0.242,22.2,68.6
Nalgonda ,Telangana,75.65,23.82,30.1,32.4,18.8,16.3,19.6,25.7,14.7,18.1,20.6,6.5,0.242,22.2,64.8
Nirmal ,Telangana,74.45,22.42,30.1,32.4,18.8,16.3,25.1,28.5,14.7,18.1,20.6,6.5,0.242,22.2,49.9
Nizamabad ,Telangana,74.49,22.47,30.1,32.4,18.8,16.3,27.1,31.2,14.7,18.1,20.6,6.5,0.242,22.2,52.3
Peddapalli ,Telangana,75.92,24.32,30.1,32.4,18.8,16.3,27.7,34.7,14.7,18.1,20.6,6.5,0.242,22.2,59.1
Rajanna Sircilla ,Telangana,75.48,23.95,30.1,32.4,18.8,16.3,30.2,36,14.7,18.1,20.6,6.5,0.242,22.2,62.8
Ranga Reddy ,Telangana,79.01,24.96,30.1,32.4,18.8,16.3,28.5,35,14.7,18.1,20.6,6.5,0.242,22.2,58.3
Sangareddy ,Telangana,75.87,23.49,30.1,32.4,18.8,16.3,25.7,32.6,14.7,18.1,20.6,6.5,0.242,22.2,58.1
Siddipet ,Telangana,74.89,22.78,30.1,32.4,18.8,16.3,26.6,36.9,14.7,18.1,20.6,6.5,0.242,22.2,60.9
Suryapet ,Telangana,75.31,23.41,30.1,32.4,18.8,16.3,25.2,27.3,14.7,18.1,20.6,6.5,0.242,22.2,63.1
Vikarabad ,Telangana,74.4,22.24,30.1,32.4,18.8,16.3,27,30.3,14.7,18.1,20.6,6.5,0.242,22.2,59.6
Wanaparthy ,Telangana,74.24,22.18,30.1,32.4,18.8,16.3,22.5,25.5,14.7,18.1,20.6,6.5,0.242,22.2,70.1
Warangal Rural ,Telangana,73.84,21.57,30.1,32.4,18.8,16.3,26.3,29.4,14.7,18.1,20.6,6.5,0.242,22.2,72
Warangal Urban ,Telangana,77.52,24.51,30.1,32.4,18.8,16.3,24.5,32.7,14.7,18.1,20.6,6.5,0.242,22.2,62
Yadadri Bhuvanagiri ,Telangana,75.16,23.17,30.1,32.4,18.8,16.3,24.8,32.3,14.7,18.1,20.6,6.5,0.242,22.2,65.3
Dhalai ,Tripura,72.43,20.67,23.5,23.5,18.8,16.3,14.5,17.4,14.7,18.1,20.6,6.5,0.242,22.2,44.2
Gomati ,Tripura,75.11,23,23.5,23.5,16.2,12.4,19.8,21.4,17.7,19.3,13.7,1.2,0.352,2.5,29.9
Khowai ,Tripura,74.52,22.49,23.5,23.5,16.2,12.4,19,21.4,17.7,19.3,13.7,1.2,0.352,2.5,44.1
North Tripura ,Tripura,74.96,22.89,23.5,23.5,16.2,12.4,18.8,19.3,17.7,19.3,13.7,1.2,0.352,2.5,28.7
Sepahijala ,Tripura,74.52,22.49,23.5,23.5,16.2,12.4,19.3,19.9,17.7,19.3,13.7,1.2,0.352,2.5,31.6
South Tripura ,Tripura,75.31,23.27,23.5,23.5,16.2,12.4,22.4,24.2,17.7,19.3,13.7,1.2,0.352,2.5,37.3
Unakoti ,Tripura,75.52,23.42,23.5,23.5,16.2,12.4,21,22.1,17.7,19.3,13.7,1.2,0.352,2.5,28
West Tripura ,Tripura,77.83,25.26,23.5,23.5,16.2,12.4,25.1,27.1,17.7,19.3,13.7,1.2,0.352,2.5,28.1
Saharanpur ,Uttar Pradesh,72.36,20.25,21.4,18.5,16.2,12.4,23,24.3,17.7,19.3,13.7,1.2,0.352,2.5,11.8
Bijnor ,Uttar Pradesh,72.31,20.15,21.4,18.5,19,18,19.7,24.3,9.8,12.2,17.6,4,0.219,17.8,18.8
Rampur ,Uttar Pradesh,71.86,19.64,21.4,18.5,19,18,17.7,21,9.8,12.2,17.6,4,0.219,17.8,13.1
Jyotiba Phule Nagar ,Uttar Pradesh,72.48,20.32,21.4,18.5,19,18,19.1,24.6,9.8,12.2,17.6,4,0.219,17.8,8.3
Meerut ,Uttar Pradesh,74.49,21.72,21.4,18.5,19,18,20,26.2,9.8,12.2,17.6,4,0.219,17.8,18.4
Baghpat ,Uttar Pradesh,74.05,21.5,21.4,18.5,19,18,21.4,25.5,9.8,12.2,17.6,4,0.219,17.8,12.5
Gautam Buddha Nagar ,Uttar Pradesh,78.2,23.86,21.4,18.5,19,18,16.4,20.9,9.8,12.2,17.6,4,0.219,17.8,23.8
Bulandshahr ,Uttar Pradesh,73.53,21.13,21.4,18.5,19,18,21.2,26.2,9.8,12.2,17.6,4,0.219,17.8,20.5
Aligarh ,Uttar Pradesh,74.19,21.79,21.4,18.5,19,18,18.2,22,9.8,12.2,17.6,4,0.219,17.8,17.6
Mahamaya Nagar ,Uttar Pradesh,73.74,21.5,21.4,18.5,19,18,22.4,26.4,9.8,12.2,17.6,4,0.219,17.8,10.9
Mathura ,Uttar Pradesh,74.37,22.24,21.4,18.5,19,18,21.1,25.4,9.8,12.2,17.6,4,0.219,17.8,10.8
Agra ,Uttar Pradesh,74.88,22.68,21.4,18.5,19,18,16.8,20.9,9.8,12.2,17.6,4,0.219,17.8,9.4
Firozabad ,Uttar Pradesh,74.41,22.2,21.4,18.5,19,18,18.1,20.5,9.8,12.2,17.6,4,0.219,17.8,13.4
Mainpuri ,Uttar Pradesh,74.05,21.84,21.4,18.5,19,18,14.4,17.9,9.8,12.2,17.6,4,0.219,17.8,16.1
Bareilly ,Uttar Pradesh,73.91,21.54,21.4,18.5,19,18,16.4,17.6,9.8,12.2,17.6,4,0.219,17.8,18.7
Pilibhit ,Uttar Pradesh,72.63,20.65,21.4,18.5,19,18,19.5,17.5,9.8,12.2,17.6,4,0.219,17.8,21.4
Shahjahanpur ,Uttar Pradesh,73.18,20.93,21.4,18.5,19,18,16.1,14.5,9.8,12.2,17.6,4,0.219,17.8,14.2
Kheri ,Uttar Pradesh,72.24,20.13,21.4,18.5,19,18,20.1,22.4,9.8,12.2,17.6,4,0.219,17.8,22
Sitapur ,Uttar Pradesh,72.76,20.73,21.4,18.5,19,18,17.8,23,9.8,12.2,17.6,4,0.219,17.8,23.2
Hardoi ,Uttar Pradesh,72.93,20.89,21.4,18.5,19,18,18.1,19.9,9.8,12.2,17.6,4,0.219,17.8,16
Unnao ,Uttar Pradesh,73.66,21.43,21.4,18.5,19,18,22,21.4,9.8,12.2,17.6,4,0.219,17.8,15.3
Lucknow ,Uttar Pradesh,77.1,24.15,21.4,18.5,19,18,21.2,22.8,9.8,12.2,17.6,4,0.219,17.8,15.8
Farrukhabad ,Uttar Pradesh,73.92,21.71,21.4,18.5,19,18,13.8,14.8,9.8,12.2,17.6,4,0.219,17.8,13.5
Kannauj ,Uttar Pradesh,73.55,21.42,21.4,18.5,19,18,14.9,14.4,9.8,12.2,17.6,4,0.219,17.8,15.3
Etawah ,Uttar Pradesh,74.35,22.13,21.4,18.5,19,18,16.7,19.7,9.8,12.2,17.6,4,0.219,17.8,17.9
Auraiya ,Uttar Pradesh,74.32,22.09,21.4,18.5,19,18,20,22.1,9.8,12.2,17.6,4,0.219,17.8,18.4
Kanpur Dehat ,Uttar Pradesh,74.4,22.18,21.4,18.5,19,18,12.6,16.5,9.8,12.2,17.6,4,0.219,17.8,17.9
Kanpur Nagar ,Uttar Pradesh,77.18,24.31,21.4,18.5,19,18,17.3,16.2,9.8,12.2,17.6,4,0.219,17.8,16.1
Jalaun ,Uttar Pradesh,74.43,22.2,21.4,18.5,19,18,16.8,20,9.8,12.2,17.6,4,0.219,17.8,17.6
Jhansi ,Uttar Pradesh,75.28,22.98,21.4,18.5,19,18,15.7,17.3,9.8,12.2,17.6,4,0.219,17.8,11.4
Lalitpur ,Uttar Pradesh,72.84,21.4,21.4,18.5,19,18,17.2,17.9,9.8,12.2,17.6,4,0.219,17.8,11.7
Hamirpur ,Uttar Pradesh,72.97,21.12,21.4,18.5,19,18,16.7,18.8,9.8,12.2,17.6,4,0.219,17.8,21.9
Mahoba ,Uttar Pradesh,72.74,21.03,21.4,18.5,19,18,15,15.7,9.8,12.2,17.6,4,0.219,17.8,16.2
Banda ,Uttar Pradesh,72.98,21.07,21.4,18.5,19,18,20.1,18.9,9.8,12.2,17.6,4,0.219,17.8,13.3
Chitrakoot ,Uttar Pradesh,71.49,19.53,21.4,18.5,19,18,15.1,16.4,9.8,12.2,17.6,4,0.219,17.8,17.4
Fatehpur ,Uttar Pradesh,73.3,21.18,21.4,18.5,19,18,17,18,9.8,12.2,17.6,4,0.219,17.8,16.8
Pratapgarh ,Uttar Pradesh,72.99,20.98,21.4,18.5,19,18,17.6,22.3,9.8,12.2,17.6,4,0.219,17.8,14.9
Kaushambi ,Uttar Pradesh,72.77,20.74,21.4,18.5,19,18,9.4,10,9.8,12.2,17.6,4,0.219,17.8,20.2
Allahabad ,Uttar Pradesh,73.84,21.58,21.4,18.5,19,18,12.6,17.7,9.8,12.2,17.6,4,0.219,17.8,20.6
Bara Banki ,Uttar Pradesh,72.93,20.85,21.4,18.5,19,18,19.1,22.7,9.8,12.2,17.6,4,0.219,17.8,14.6
Faizabad ,Uttar Pradesh,74.1,21.99,21.4,18.5,19,18,14.9,17.7,9.8,12.2,17.6,4,0.219,17.8,19.8
Ambedkar Nagar ,Uttar Pradesh,73.74,21.59,21.4,18.5,19,18,17.2,22,9.8,12.2,17.6,4,0.219,17.8,23
Bahraich ,Uttar Pradesh,70.08,18.73,21.4,18.5,19,18,24.2,28.7,9.8,12.2,17.6,4,0.219,17.8,10.1
Shrawasti ,Uttar Pradesh,68.96,18.06,21.4,18.5,19,18,18.4,18.7,9.8,12.2,17.6,4,0.219,17.8,13.5
Balrampur ,Uttar Pradesh,71.18,19.49,21.4,18.5,19,18,23.2,25.3,9.8,12.2,17.6,4,0.219,17.8,13
Gonda ,Uttar Pradesh,72.33,20.31,21.4,18.5,19,18,22.9,28.6,9.8,12.2,17.6,4,0.219,17.8,13.4
Siddharthnagar ,Uttar Pradesh,72.19,20.17,21.4,18.5,19,18,19.1,23.5,9.8,12.2,17.6,4,0.219,17.8,12.2
Basti ,Uttar Pradesh,73.19,21.08,21.4,18.5,19,18,19.2,25,9.8,12.2,17.6,4,0.219,17.8,15.8
Sant Kabir Nagar ,Uttar Pradesh,72.99,20.94,21.4,18.5,19,18,22.5,28.2,9.8,12.2,17.6,4,0.219,17.8,20.4
Mahrajganj ,Uttar Pradesh,72.66,20.48,21.4,18.5,19,18,19.6,24.9,9.8,12.2,17.6,4,0.219,17.8,18.2
Gorakhpur ,Uttar Pradesh,73.98,21.67,21.4,18.5,19,18,16.8,20.7,9.8,12.2,17.6,4,0.219,17.8,17.9
Kushinagar ,Uttar Pradesh,72.28,20.11,21.4,18.5,19,18,16.4,21.9,9.8,12.2,17.6,4,0.219,17.8,15.6
Deoria ,Uttar Pradesh,73.17,21.1,21.4,18.5,19,18,17.6,21,9.8,12.2,17.6,4,0.219,17.8,10.5
Azamgarh ,Uttar Pradesh,73.7,21.56,21.4,18.5,19,18,19.4,28.7,9.8,12.2,17.6,4,0.219,17.8,9
Mau ,Uttar Pradesh,73.93,21.68,21.4,18.5,19,18,23.9,29.9,9.8,12.2,17.6,4,0.219,17.8,16
Ballia ,Uttar Pradesh,72.99,20.98,21.4,18.5,19,18,17.1,20.7,9.8,12.2,17.6,4,0.219,17.8,10.6
Jaunpur ,Uttar Pradesh,74.15,21.96,21.4,18.5,19,18,16,19.7,9.8,12.2,17.6,4,0.219,17.8,12
Ghazipur ,Uttar Pradesh,72.93,20.85,21.4,18.5,19,18,14.2,20.3,9.8,12.2,17.6,4,0.219,17.8,10.6
Chandauli ,Uttar Pradesh,73.09,20.99,21.4,18.5,19,18,18.9,23.6,9.8,12.2,17.6,4,0.219,17.8,28.1
Varanasi ,Uttar Pradesh,75.21,22.69,21.4,18.5,19,18,19,27.1,9.8,12.2,17.6,4,0.219,17.8,12.8
Sant Ravidas Nagar (Bhadohi) ,Uttar Pradesh,73.81,21.63,21.4,18.5,19,18,14.9,23,9.8,12.2,17.6,4,0.219,17.8,18.8
Mirzapur ,Uttar Pradesh,73.5,21.32,21.4,18.5,19,18,21.7,29,9.8,12.2,17.6,4,0.219,17.8,15
Sonbhadra ,Uttar Pradesh,72.26,20.08,21.4,18.5,19,18,19,21.4,9.8,12.2,17.6,4,0.219,17.8,19.7
Etah ,Uttar Pradesh,74.07,21.84,21.4,18.5,19,18,16.4,19.2,9.8,12.2,17.6,4,0.219,17.8,12.8
Kanshiram Nagar ,Uttar Pradesh,73.2,20.98,21.4,18.5,19,18,16.5,19.5,9.8,12.2,17.6,4,0.219,17.8,15.1
Amethi ,Uttar Pradesh,74.13,21.97,21.4,18.5,19,18,19.2,21.2,9.8,12.2,17.6,4,0.219,17.8,20.9
Budaun ,Uttar Pradesh,72.69,20.66,21.4,18.5,19,18,13,13.8,9.8,12.2,17.6,4,0.219,17.8,13.6
Ghaziabad ,Uttar Pradesh,77.58,23.27,21.4,18.5,19,18,19.3,24.5,9.8,12.2,17.6,4,0.219,17.8,20
Hapur ,Uttar Pradesh,74.49,21.72,21.4,18.5,19,18,22.9,25.7,9.8,12.2,17.6,4,0.219,17.8,14.9
Moradabad ,Uttar Pradesh,73.81,21.36,21.4,18.5,19,18,21.3,25.6,9.8,12.2,17.6,4,0.219,17.8,17.1
Muzaffarnagar ,Uttar Pradesh,73.33,20.95,21.4,18.5,19,18,21.6,24.2,9.8,12.2,17.6,4,0.219,17.8,8.2
Rae Bareli ,Uttar Pradesh,73.89,21.63,21.4,18.5,19,18,19.4,17.9,9.8,12.2,17.6,4,0.219,17.8,16.8
Sambhal ,Uttar Pradesh,72.21,19.98,21.4,18.5,19,18,19.3,22.7,9.8,12.2,17.6,4,0.219,17.8,13.7
Shamli ,Uttar Pradesh,73.33,20.95,21.4,18.5,19,18,21.2,28.6,9.8,12.2,17.6,4,0.219,17.8,14.8
Sultanpur ,Uttar Pradesh,74.13,21.97,21.4,18.5,19,18,20.6,24.3,9.8,12.2,17.6,4,0.219,17.8,20.7
Uttarkashi ,Uttarakhand,72.91,22.25,29.8,27.1,19,18,19,24.4,9.8,12.2,17.6,4,0.219,17.8,80.3
Chamoli ,Uttarakhand,74.2,23.36,29.8,27.1,13.9,16.2,19.7,28.5,10.8,14.2,27.1,5.2,0.134,33.6,71.1
Rudraprayag ,Uttarakhand,75.31,24.81,29.8,27.1,13.9,16.2,18.7,31.7,10.8,14.2,27.1,5.2,0.134,33.6,76.6
Tehri Garhwal ,Uttarakhand,74.04,23,29.8,27.1,13.9,16.2,20,34,10.8,14.2,27.1,5.2,0.134,33.6,71.2
Dehradun ,Uttarakhand,78.29,25.29,29.8,27.1,13.9,16.2,23.7,31.9,10.8,14.2,27.1,5.2,0.134,33.6,67.3
Garhwal ,Uttarakhand,75.39,24.16,29.8,27.1,13.9,16.2,22.1,34.3,10.8,14.2,27.1,5.2,0.134,33.6,62.7
Pithoragarh ,Uttarakhand,74.65,24.08,29.8,27.1,13.9,16.2,23.3,32.9,10.8,14.2,27.1,5.2,0.134,33.6,72.8
Bageshwar ,Uttarakhand,74.88,24.17,29.8,27.1,13.9,16.2,20.2,34.9,10.8,14.2,27.1,5.2,0.134,33.6,71.9
Almora ,Uttarakhand,75.22,24.78,29.8,27.1,13.9,16.2,24.6,33.2,10.8,14.2,27.1,5.2,0.134,33.6,66
Champawat ,Uttarakhand,74.62,22.95,29.8,27.1,13.9,16.2,19.9,29.7,10.8,14.2,27.1,5.2,0.134,33.6,65.7
Nainital ,Uttarakhand,76.54,24.32,29.8,27.1,13.9,16.2,24,30.4,10.8,14.2,27.1,5.2,0.134,33.6,60.8
Udham Singh Nagar ,Uttarakhand,74.68,22.22,29.8,27.1,13.9,16.2,22.2,30.2,10.8,14.2,27.1,5.2,0.134,33.6,59
Hardwar ,Uttarakhand,73.58,21.11,29.8,27.1,13.9,16.2,26.2,33.9,10.8,14.2,27.1,5.2,0.134,33.6,46.6
Darjiling ,West Bengal,76.99,24.96,22.7,16.2,13.9,16.2,29.2,29.5,10.8,14.2,27.1,5.2,0.134,33.6,26.3
Jalpaiguri ,West Bengal,74.19,21.92,22.7,16.2,14.8,15.1,21.2,23.7,17.5,21.3,22.4,1.3,0.239,7,35.8
Koch Bihar ,West Bengal,72.84,20.83,22.7,16.2,14.8,15.1,21.7,20.8,17.5,21.3,22.4,1.3,0.239,7,36
Uttar Dinajpur ,West Bengal,70.52,19.26,22.7,16.2,14.8,15.1,16.3,23.8,17.5,21.3,22.4,1.3,0.239,7,21
Dakshin Dinajpur ,West Bengal,73.08,21.52,22.7,16.2,14.8,15.1,17.6,16.2,17.5,21.3,22.4,1.3,0.239,7,28.3
Maldah ,West Bengal,71.18,19.68,22.7,16.2,14.8,15.1,19.3,17.8,17.5,21.3,22.4,1.3,0.239,7,29
Murshidabad ,West Bengal,73.13,21.43,22.7,16.2,14.8,15.1,18.7,16.3,17.5,21.3,22.4,1.3,0.239,7,28.4
Birbhum ,West Bengal,74.23,22.47,22.7,16.2,14.8,15.1,17.5,14.1,17.5,21.3,22.4,1.3,0.239,7,37.7
Nadia ,West Bengal,74.79,22.84,22.7,16.2,14.8,15.1,21.2,16,17.5,21.3,22.4,1.3,0.239,7,23
North Twenty Four Pargana ,West Bengal,78.23,25.24,22.7,16.2,14.8,15.1,19,17.1,17.5,21.3,22.4,1.3,0.239,7,30.7
Hugli ,West Bengal,76.96,24.77,22.7,16.2,14.8,15.1,24.1,26.7,17.5,21.3,22.4,1.3,0.239,7,26.5
Bankura ,West Bengal,74.33,22.42,22.7,16.2,14.8,15.1,21,20.3,17.5,21.3,22.4,1.3,0.239,7,43.4
Puruliya ,West Bengal,72.99,21.18,22.7,16.2,14.8,15.1,17.5,20.4,17.5,21.3,22.4,1.3,0.239,7,35.6
Haora ,West Bengal,78.58,25.75,22.7,16.2,14.8,15.1,24,26.8,17.5,21.3,22.4,1.3,0.239,7,20.1
Kolkata ,West Bengal,81.42,26.47,22.7,16.2,14.8,15.1,23.9,23.8,17.5,21.3,22.4,1.3,0.239,7,21.1
South Twenty Four Pargana ,West Bengal,75.87,22.75,22.7,16.2,14.8,15.1,21.5,19.1,17.5,21.3,22.4,1.3,0.239,7,36.7
Paschim Medinipur ,West Bengal,74.73,22.74,22.7,16.2,14.8,15.1,19.3,19,17.5,21.3,22.4,1.3,0.239,7,25.8
Purba Medinipur ,West Bengal,76.77,24.97,22.7,16.2,14.8,15.1,18.1,21.3,17.5,21.3,22.4,1.3,0.239,7,21.5
Paschim Barddhaman ,West Bengal,76.56,23.95,22.7,16.2,14.8,15.1,17.6,20.7,17.5,21.3,22.4,1.3,0.239,7,21.8
Purba Barddhaman ,West Bengal,75.4,23.34,22.7,16.2,14.8,15.1,21.2,18.4,17.5,21.3,22.4,1.3,0.239,7,37.2
,,,,,,14.8,15.1,,,17.5,21.3,22.4,1.3,0.239,7,
